from,to,relation,weight
PaAl,ViMa,family,1
PaAl,GaTi,family,1
PaAl,GiTi,family,1
PaAl,LoTi,family,1
PaAl,AnVe,family,1
PaAl,CoVe,family,1
PaAl,GiVe,family,1
PaAl,RuVe,family,1
PaAl,GiZa,family,1
PaAl,OnZa,family,1
PaAl,GiAb,family,1
PaAl,MaAb,family,1
PaAl,PiAl,family,2
PaAl,FiAr,family,1
PaAl,GaAr,family,1
PaAl,FrBu,family,1
PaAl,ViBu,family,1
PaAl,SaBu,family,1
PaAl,SaCh,family,1
PaAl,DoFe,family,1
PaAl,GiIn,family,1
PaAl,GaLo,family,1
PaAl,GiLo,family,1
PaAl,GiOl,family,1
PaAl,AnSi,family,1
PaAl,FrPa,family,1
PaAl,ViSi,family,1
PaAl,VSdA,family,1
PaAl,PiTa,family,1
PiAl,FiMa,family,1
PiAl,BeTi,family,1
PiAl,PiVe,family,1
PiAl,CaZa,family,1
PiAl,AnMa,family,1
PiAl,GiMa,family,1
PiAl,ViMa,family,1
PiAl,GaTi,family,1
PiAl,GiTi,family,1
PiAl,LoTi,family,1
PiAl,AnVe,family,1
PiAl,CoVe,family,1
PiAl,GiVe,family,1
PiAl,RuVe,family,1
PiAl,GiZa,family,1
PiAl,OnZa,family,1
PiAl,GiAb,family,1
PiAl,MaAb,family,1
PiAl,PaAl,family,2
PiAl,FiAr,family,1
PiAl,GaAr,family,1
PiAl,FrBu,family,1
PiAl,ViBu,family,1
PiAl,SaBu,family,1
PiAl,SaCh,family,1
PiAl,DoFe,family,1
PiAl,GiIn,family,1
PiAl,GaLo,family,1
PiAl,GiLo,family,1
PiAl,GiOl,family,1
PiAl,AnSi,family,1
PiAl,FrPa,family,1
PiAl,ViSi,family,1
PiAl,VSdA,family,1
PiAl,PiTa,family,1
FiAr,FiMa,family,1
FiAr,BeTi,family,1
FiAr,PiVe,family,1
FiAr,CaZa,family,1
FiAr,AnMa,family,1
FiAr,GiMa,family,1
FiAr,ViMa,family,1
FiAr,GaTi,family,1
FiAr,GiTi,family,1
FiAr,LoTi,family,1
FiAr,AnVe,family,1
FiAr,CoVe,family,1
FiAr,GiVe,family,1
FiAr,RuVe,family,1
FiAr,GiZa,family,1
FiAr,OnZa,family,1
FiAr,GiAb,family,1
FiAr,MaAb,family,1
FiAr,PaAl,family,1
FiAr,PiAl,family,1
FiAr,GaAr,family,2
FiAr,FrBu,family,1
FiAr,ViBu,family,1
FiAr,SaBu,family,1
FiAr,SaCh,family,1
FiAr,DoFe,family,1
FiAr,GiIn,family,1
FiAr,GaLo,family,1
FiAr,GiLo,family,1
FiAr,GiOl,family,1
FiAr,AnSi,family,1
FiAr,FrPa,family,1
FiAr,ViSi,family,1
FiAr,VSdA,family,1
FiAr,PiTa,family,1
GaAr,FiMa,family,1
GaAr,BeTi,family,1
GaAr,PiVe,family,1
GaAr,CaZa,family,1
GaAr,AnMa,family,1
GaAr,GiMa,family,1
GaAr,ViMa,family,1
GaAr,GaTi,family,1
GaAr,GiTi,family,1
GaAr,LoTi,family,1
GaAr,AnVe,family,1
GaAr,CoVe,family,1
GaAr,GiVe,family,1
GaAr,RuVe,family,1
GaAr,GiZa,family,1
GaAr,OnZa,family,1
GaAr,GiAb,family,1
GaAr,MaAb,family,1
GaAr,PaAl,family,1
GaAr,PiAl,family,1
GaAr,FiAr,family,2
GaAr,FrBu,family,1
GaAr,ViBu,family,1
GaAr,SaBu,family,1
GaAr,SaCh,family,1
GaAr,DoFe,family,1
GaAr,GiIn,family,1
GaAr,GaLo,family,1
GaAr,GiLo,family,1
GaAr,GiOl,family,1
GaAr,AnSi,family,1
GaAr,FrPa,family,1
GaAr,ViSi,family,1
GaAr,VSdA,family,1
GaAr,PiTa,family,1
FrBu,FiMa,family,1
FrBu,BeTi,family,1
FrBu,PiVe,family,1
FrBu,CaZa,family,1
FrBu,AnMa,family,1
FrBu,GiMa,family,1
FrBu,ViMa,family,1
FrBu,GaTi,family,1
FrBu,GiTi,family,1
FrBu,LoTi,family,1
FrBu,AnVe,family,1
FrBu,CoVe,family,1
FrBu,GiVe,family,1
FrBu,RuVe,family,1
FrBu,GiZa,family,1
FrBu,OnZa,family,1
FrBu,GiAb,family,1
FrBu,MaAb,family,1
FrBu,PaAl,family,1
FrBu,PiAl,family,1
FrBu,FiAr,family,1
FrBu,GaAr,family,1
FrBu,ViBu,family,2
FrBu,SaBu,family,2
FrBu,SaCh,family,1
FrBu,DoFe,family,1
FrBu,GiIn,family,1
FrBu,GaLo,family,1
FrBu,GiLo,family,1
FrBu,GiOl,family,1
FrBu,AnSi,family,1
FrBu,FrPa,family,1
FrBu,ViSi,family,1
FrBu,VSdA,family,1
FrBu,PiTa,family,1
ViBu,FiMa,family,1
ViBu,BeTi,family,1
ViBu,PiVe,family,1
ViBu,CaZa,family,1
ViBu,AnMa,family,1
ViBu,GiMa,family,1
ViBu,ViMa,family,1
